2020-09-12	Fulham	Arsenal	0.126	2.163	0	3	0.004	0.048	0.949
2020-09-12	Crystal Palace	Southampton	1.396	1.263	1	0	0.392	0.302	0.306
2020-09-12	Liverpool	Leeds	3.154	0.270	4	3	0.966	0.030	0.005
2020-09-12	West Ham	Newcastle United	0.861	1.659	0	2	0.151	0.248	0.601
2020-09-13	West Bromwich Albion	Leicester	0.353	2.956	0	3	0.007	0.036	0.957
2020-09-13	Tottenham	Everton	0.823	1.268	0	1	0.220	0.298	0.482
2020-09-14	Sheffield United	Wolverhampton Wanderers	0.949	1.613	0	2	0.168	0.291	0.541
2020-09-14	Brighton	Chelsea	1.443	1.271	1	3	0.387	0.315	0.298
2020-09-19	Everton	West Bromwich Albion	4.163	0.315	5	2	0.997	0.002	0.001
2020-09-19	Leeds	Fulham	1.453	1.555	4	3	0.316	0.314	0.371
2020-09-19	Manchester United	Crystal Palace	1.097	1.915	1	3	0.170	0.238	0.593
2020-09-19	Arsenal	West Ham	1.329	2.064	2	1	0.192	0.241	0.568
2020-09-20	Southampton	Tottenham	2.277	2.280	2	5	0.353	0.277	0.370
2020-09-20	Newcastle United	Brighton	0.521	1.877	0	3	0.046	0.176	0.778
2020-09-20	Chelsea	Liverpool	0.904	2.252	0	2	0.057	0.195	0.748
2020-09-20	Leicester	Burnley	0.987	1.524	4	2	0.229	0.264	0.507
2020-09-21	Aston Villa	Sheffield United	0.805	0.850	1	0	0.262	0.375	0.363
2020-09-21	Wolverhampton Wanderers	Manchester City	0.728	2.077	1	3	0.084	0.171	0.746
2020-09-26	Brighton	Manchester United	2.977	1.576	2	3	0.720	0.178	0.102
2020-09-26	Crystal Palace	Everton	0.443	2.272	1	2	0.029	0.109	0.863
2020-09-26	West Bromwich Albion	Chelsea	0.911	2.360	3	3	0.078	0.173	0.750
2020-09-26	Burnley	Southampton	0.347	0.707	0	1	0.151	0.419	0.430
2020-09-27	Sheffield United	Leeds	1.533	1.466	0	1	0.392	0.271	0.337
2020-09-27	Tottenham	Newcastle United	3.188	0.943	1	1	0.886	0.089	0.025
2020-09-27	Manchester City	Leicester	1.446	2.867	2	5	0.089	0.149	0.761
2020-09-27	West Ham	Wolverhampton Wanderers	3.057	0.385	4	0	0.940	0.048	0.012
2020-09-28	Fulham	Aston Villa	0.535	2.032	0	3	0.067	0.169	0.765
2020-09-28	Liverpool	Arsenal	2.738	1.178	3	1	0.755	0.170	0.076
2020-10-03	Chelsea	Crystal Palace	2.514	0.103	4	0	0.964	0.034	0.002
2020-10-03	Everton	Brighton	2.340	1.166	4	2	0.686	0.205	0.108
2020-10-03	Leeds	Manchester City	2.567	1.415	1	1	0.658	0.182	0.159
2020-10-03	Newcastle United	Burnley	1.956	0.439	3	1	0.827	0.134	0.040
2020-10-04	Leicester	West Ham	0.456	2.032	0	3	0.049	0.163	0.788
2020-10-04	Southampton	West Bromwich Albion	0.949	0.161	2	0	0.584	0.364	0.052
2020-10-04	Arsenal	Sheffield United	0.667	0.145	2	1	0.481	0.450	0.070
2020-10-04	Wolverhampton Wanderers	Fulham	0.894	0.969	1	0	0.292	0.353	0.355
2020-10-04	Manchester United	Tottenham	0.873	3.302	1	6	0.017	0.080	0.903
2020-10-04	Aston Villa	Liverpool	3.076	1.657	7	2	0.699	0.161	0.141
2020-10-17	Everton	Liverpool	1.360	2.495	2	2	0.160	0.196	0.644
2020-10-17	Chelsea	Southampton	1.987	1.423	3	3	0.520	0.278	0.202
2020-10-17	Manchester City	Arsenal	1.430	0.838	1	0	0.530	0.283	0.187
2020-10-17	Newcastle United	Manchester United	0.867	2.217	1	4	0.076	0.195	0.728
2020-10-18	Sheffield United	Fulham	1.664	1.356	1	1	0.439	0.318	0.243
2020-10-18	Crystal Palace	Brighton	0.761	1.093	1	1	0.244	0.370	0.385
