Season,HomeTeam,AwayTeam,home_rest_days_all,away_rest_days_all,home_matches_last_14_all,away_matches_last_14_all,home_played_euro_last_5,away_played_euro_last_5,diff_rest_days_all,diff_matches_last_14_all,diff_played_euro_last_5
2016_2017,West Brom,Tottenham,14.0,13.0,1,1,0,0,1.0,0,0
2016_2017,Middlesbrough,Watford,15.0,15.0,0,0,0,0,0.0,0,0
2016_2017,Southampton,Burnley,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Liverpool,Man United,16.0,15.0,0,0,0,0,1.0,0,0
2016_2017,Arsenal,Middlesbrough,3.0,6.0,2,1,1,0,-3.0,1,1
2016_2017,Bournemouth,Tottenham,7.0,4.0,1,2,0,1,3.0,-1,-1
2016_2017,Burnley,Everton,6.0,7.0,1,1,0,0,-1.0,0,0
2016_2017,Hull,Stoke,7.0,7.0,1,1,0,0,0.0,0,0
2016_2017,Leicester,Crystal Palace,4.0,7.0,2,1,1,0,-3.0,1,1
2016_2017,Liverpool,West Brom,5.0,7.0,1,1,0,0,-2.0,0,0
2016_2017,Swansea,Watford,7.0,6.0,1,1,0,0,1.0,0,0
2016_2017,West Ham,Sunderland,7.0,7.0,1,1,0,0,0.0,0,0
2016_2017,Chelsea,Man United,8.0,3.0,1,2,0,1,5.0,-1,-1
2016_2017,Man City,Southampton,4.0,3.0,2,2,1,1,1.0,0,0
2016_2017,Crystal Palace,Liverpool,7.0,4.0,2,3,0,0,3.0,-1,0
2016_2017,Man United,Burnley,3.0,7.0,4,2,0,0,-4.0,2,0
2016_2017,Middlesbrough,Bournemouth,7.0,7.0,2,2,0,0,0.0,0,0
2016_2017,Sunderland,Arsenal,3.0,4.0,3,4,0,0,-1.0,-1,0
2016_2017,Tottenham,Leicester,4.0,7.0,4,3,0,0,-3.0,1,0
2016_2017,Watford,Hull,7.0,4.0,2,3,0,0,3.0,-1,0
2016_2017,West Brom,Man City,7.0,3.0,2,4,0,0,4.0,-2,0
2016_2017,Everton,West Ham,8.0,4.0,1,2,0,0,4.0,-1,0
2016_2017,Southampton,Chelsea,4.0,4.0,4,2,0,0,0.0,2,0
2016_2017,Stoke,Swansea,9.0,9.0,1,1,0,0,0.0,0,0
2016_2017,Bournemouth,Sunderland,7.0,7.0,2,3,0,0,0.0,-1,0
2016_2017,Burnley,Crystal Palace,7.0,7.0,2,2,0,0,0.0,0,0
2016_2017,Chelsea,Everton,6.0,6.0,3,2,0,0,0.0,1,0
2016_2017,Man City,Middlesbrough,4.0,7.0,4,2,1,0,-3.0,2,1
2016_2017,West Ham,Stoke,6.0,5.0,3,2,0,0,1.0,1,0
2016_2017,Arsenal,Tottenham,5.0,4.0,3,3,1,1,1.0,0,0
