Season,Date,HomeTeam,AwayTeam,home_xg_xg_for_last_5,home_xg_xg_against_last_5,home_xg_xg_diff_last_5,home_xg_xg_for_last_10,home_xg_xg_against_last_10,home_xg_xg_diff_last_10,home_xg_xg_perf_for_last_10,home_xg_xg_perf_against_last_10,home_xg_season_xg_for_pm,home_xg_season_xg_against_pm,home_xg_season_xg_diff_pm,away_xg_xg_for_last_5,away_xg_xg_against_last_5,away_xg_xg_diff_last_5,away_xg_xg_for_last_10,away_xg_xg_against_last_10,away_xg_xg_diff_last_10,away_xg_xg_perf_for_last_10,away_xg_xg_perf_against_last_10,away_xg_season_xg_for_pm,away_xg_season_xg_against_pm,away_xg_season_xg_diff_pm,diff_xg_xg_for_last_5,diff_xg_xg_against_last_5,diff_xg_xg_diff_last_5,diff_xg_xg_for_last_10,diff_xg_xg_against_last_10,diff_xg_xg_diff_last_10,diff_xg_xg_perf_for_last_10,diff_xg_xg_perf_against_last_10,diff_xg_season_xg_for_pm,diff_xg_season_xg_against_pm,diff_xg_season_xg_diff_pm,understat_home_prob,understat_draw_prob,understat_away_prob,home_elo,away_elo,elo_diff,elo_expected_home,home_squad_value_m,home_value_rank,home_value_share,away_squad_value_m,away_value_rank,away_value_share,value_diff_m,value_rank_diff,value_log_ratio
2016_2017,2016-08-20,Stoke,Man City,0.486,1.805,-1.319,0.486,1.805,-1.319,0.514,-0.8049999999999999,0.486,1.8050000000000002,-1.319,1.955,1.099,0.8560000000000001,1.955,1.099,0.8560000000000001,0.04499999999999993,-0.09899999999999998,1.9550000000000005,1.0990000000000002,0.8560000000000001,-1.469,0.706,-2.175,-1.469,0.706,-2.175,0.4690000000000001,-0.706,-1.4690000000000005,0.706,-2.175,0.143,0.255,0.602,1685.0480957,1859.20532227,-174.15722656999992,0.2684443656872139,186.0,12,0.0316,576.5,2,0.0981,-390.5,-10,-1.1312286659959125
2016_2017,2016-08-20,Swansea,Hull,1.721,1.049,0.6720000000000002,1.721,1.049,0.6720000000000002,-0.7210000000000001,-1.049,1.721,1.049,0.6720000000000002,0.74,2.456,-1.716,0.74,2.456,-1.716,1.26,-1.456,0.7399999999999998,2.456,-1.716,0.9810000000000001,-1.407,2.388,0.9810000000000001,-1.407,2.388,-1.981,0.40700000000000003,0.9810000000000003,-1.407,2.388,0.135,0.204,0.661,1700.50866699,1605.37231445,95.13635253999996,0.6335899385622942,157.1,14,0.0267,135.85,15,0.0231,21.25,1,0.14533120938921879
2016_2017,2016-08-20,Tottenham,Crystal Palace,1.123,0.79,0.33299999999999996,1.123,0.79,0.33299999999999996,-0.123,0.20999999999999996,1.1229999999999998,0.7900000000000001,0.3330000000000002,0.99,0.685,0.30499999999999994,0.99,0.685,0.30499999999999994,-0.99,0.31499999999999995,0.9899999999999999,0.685,0.30499999999999994,0.133,0.10499999999999998,0.028000000000000025,0.133,0.10499999999999998,0.028000000000000025,0.867,-0.10499999999999998,0.1329999999999999,0.1050000000000001,0.028000000000000247,0.871,0.105,0.024,1806.85778809,1628.46130371,178.39648437999995,0.7363208064740544,543.65,3,0.0925,228.43,10,0.0389,315.21999999999997,7,0.8670758397759801
2016_2017,2016-08-20,Watford,Chelsea,0.18,0.937,-0.7570000000000001,0.18,0.937,-0.7570000000000001,0.8200000000000001,0.06299999999999994,0.18000000000000005,0.937,-0.7570000000000002,1.46,0.446,1.014,1.46,0.446,1.014,0.54,0.554,1.4600000000000002,0.44600000000000006,1.0139999999999998,-1.28,0.49100000000000005,-1.7710000000000001,-1.28,0.49100000000000005,-1.7710000000000001,0.28,-0.4910000000000001,-1.2800000000000002,0.491,-1.771,0.108,0.247,0.645,1633.39538574,1802.22314453,-168.82775878999996,0.2745117718370986,175.65,13,0.0299,686.7,1,0.1168,-511.05000000000007,-12,-1.3634041369147947
2016_2017,2016-08-20,West Brom,Everton,0.685,0.99,-0.30499999999999994,0.685,0.99,-0.30499999999999994,0.31499999999999995,-0.99,0.685,0.9899999999999998,-0.30499999999999994,0.79,1.123,-0.33299999999999996,0.79,1.123,-0.33299999999999996,0.20999999999999996,-0.123,0.79,1.1230000000000002,-0.33299999999999996,-0.10499999999999998,-0.133,0.028000000000000025,-0.10499999999999998,-0.133,0.028000000000000025,0.10499999999999998,-0.867,-0.10499999999999998,-0.13300000000000045,0.028000000000000025,0.398,0.256,0.345,1658.89245605,1700.68884277,-41.7963867200001,0.4401386574839637,123.2,19,0.021,311.25,7,0.0529,-188.05,-12,-0.9267873966794979
2016_2017,2016-08-21,Sunderland,Middlesbrough,1.099,1.955,-0.8560000000000001,1.099,1.955,-0.8560000000000001,-0.09899999999999998,0.04499999999999993,1.0989999999999998,1.955,-0.8560000000000001,1.805,0.486,1.319,1.805,0.486,1.319,-0.8049999999999999,0.514,1.8050000000000002,0.486,1.319,-0.706,1.469,-2.175,-0.706,1.469,-2.175,0.706,-0.4690000000000001,-0.7060000000000004,1.469,-2.175,0.519,0.296,0.185,1656.93652344,1599.85266113,57.083862310000086,0.5814189703751881,132.0,16,0.0225,128.8,18,0.0219,3.1999999999999886,2,0.024541108916117445
2016_2017,2016-08-21,West Ham,Bournemouth,0.446,1.46,-1.014,0.446,1.46,-1.014,0.554,0.54,0.4460000000000002,1.46,-1.014,0.523,1.911,-1.388,0.523,1.911,-1.388,0.477,1.089,0.523,1.911,-1.3879999999999997,-0.07700000000000001,-0.45100000000000007,0.3739999999999999,-0.07700000000000001,-0.45100000000000007,0.3739999999999999,0.07700000000000007,-0.5489999999999999,-0.07699999999999985,-0.45100000000000007,0.37399999999999967,0.747,0.196,0.057,1723.92541504,1616.4744873,107.45092774,0.6498857983931781,273.05,8,0.0464,131.6,17,0.0224,141.45000000000002,9,0.7298879097069461
2016_2017,2016-08-27,Chelsea,Burnley,1.608,0.6255000000000001,0.9824999999999999,1.608,0.6255000000000001,0.9824999999999999,0.392,0.3745,1.6079999999999999,0.6255000000000001,0.9825000000000002,0.6234999999999999,1.33,-0.7065,0.6234999999999999,1.33,-0.7065,0.37650000000000006,-0.8300000000000001,0.6235,1.3299999999999998,-0.7064999999999999,0.9845000000000002,-0.7045,1.689,0.9845000000000002,-0.7045,1.689,0.015499999999999958,1.2045000000000001,0.9844999999999998,-0.7044999999999998,1.689,0.926,0.062,0.011,1800.45471191,1641.34301758,159.1116943300001,0.7142101586682859,686.7,1,0.1168,107.18,20,0.0182,579.52,19,1.8573878515599265
2016_2017,2016-08-27,Crystal Palace,Bournemouth,0.6739999999999999,1.4705,-0.7964999999999999,0.6739999999999999,1.4705,-0.7964999999999999,-0.6739999999999999,-0.4704999999999999,0.6739999999999999,1.4705,-0.7964999999999999,0.458,1.802,-1.3439999999999999,0.458,1.802,-1.3439999999999999,0.04199999999999998,0.19799999999999995,0.4580000000000001,1.802,-1.3439999999999999,0.21599999999999991,-0.33150000000000013,0.5475,0.21599999999999991,-0.33150000000000013,0.5475,-0.716,-0.6684999999999999,0.21599999999999986,-0.33150000000000013,0.5475,0.78,0.145,0.075,1618.50280762,1605.2989502,13.203857420000077,0.5189927355268342,228.43,10,0.0389,131.6,17,0.0224,96.83000000000001,7,0.5514627987765616
2016_2017,2016-08-27,Everton,Stoke,1.3145,1.5710000000000002,-0.25650000000000006,1.3145,1.5710000000000002,-0.25650000000000006,0.1855,-0.5710000000000001,1.3145,1.5710000000000002,-0.25650000000000006,0.8985,1.9885000000000002,-1.09,0.8985,1.9885000000000002,-1.09,0.10150000000000003,0.5115,0.8985,1.9885,-1.0899999999999999,0.41600000000000004,-0.4175,0.8335,0.41600000000000004,-0.4175,0.8335,0.08399999999999996,-1.0825,0.41600000000000004,-0.41749999999999976,0.8334999999999998,0.911,0.078,0.011,1702.07336426,1669.0057373,33.0676269600001,0.5474449665386488,311.25,7,0.0529,186.0,12,0.0316,125.25,5,0.5148497740657161
