MatchID,Season,Date,Time,HomeTeam,AwayTeam,target_result,target_result_encoded,target_home_win,target_draw,target_away_win,home_elo,away_elo,elo_diff,elo_expected_home,h2h_home_ppg,h2h_home_goal_diff,h2h_meetings,home_promoted,away_promoted,home_ewm_points,home_ewm_goal_diff,home_ewm_goals_for,home_ewm_goals_against,home_ewm_conversion,home_ewm_shot_accuracy,home_ewm_def_leakiness,home_season_ppg,home_season_rank_pct,home_season_matches_played,home_win_streak,home_unbeaten_streak,home_winless_streak,away_ewm_points,away_ewm_goal_diff,away_ewm_goals_for,away_ewm_goals_against,away_ewm_conversion,away_ewm_shot_accuracy,away_ewm_def_leakiness,away_season_ppg,away_season_rank_pct,away_season_matches_played,away_win_streak,away_unbeaten_streak,away_winless_streak,diff_ewm_points,diff_ewm_goal_diff,diff_ewm_conversion,diff_ewm_shot_accuracy,diff_ewm_def_leakiness,diff_season_ppg,diff_season_rank_pct,diff_win_streak,diff_unbeaten_streak,diff_winless_streak
13,2016_2017,2016-08-20,,Stoke,Man City,A,0,0,0,1,1501.7099735734362,1508.2900264265638,-6.580052853127654,0.576277348421976,1.35,0.0,0,0,0,1.0,0.0,1.0,1.0,,,,1.0,0.4642857142857143,1,0,1,1,3.0,1.0,2.0,1.0,,,,3.0,0.8214285714285714,1,1,1,0,-2.0,-1.0,,,,-2.0,-0.3571428571428571,-1,0,1
14,2016_2017,2016-08-20,,Swansea,Hull,A,0,0,0,1,1511.7099735734362,1508.2900264265638,3.419947146872346,0.5902682850530583,1.35,0.0,0,0,0,3.0,1.0,1.0,0.0,,,,3.0,0.8214285714285714,1,1,1,0,3.0,1.0,2.0,1.0,,,,3.0,0.8214285714285714,1,1,1,0,0.0,0.0,,,,0.0,0.0,0,0,0
15,2016_2017,2016-08-20,,Tottenham,Crystal Palace,H,2,1,0,0,1501.7099735734362,1488.2900264265638,13.419947146872346,0.604114611950319,1.35,0.0,0,0,0,1.0,0.0,1.0,1.0,,,,1.0,0.4642857142857143,1,0,1,1,0.0,-1.0,0.0,1.0,,,,0.0,0.17857142857142858,1,0,0,1,1.0,1.0,,,,1.0,0.2857142857142857,0,1,0
16,2016_2017,2016-08-20,,Watford,Chelsea,A,0,0,0,1,1501.7099735734362,1508.2900264265638,-6.580052853127654,0.576277348421976,1.35,0.0,0,0,0,1.0,0.0,1.0,1.0,,,,1.0,0.4642857142857143,1,0,1,1,3.0,1.0,2.0,1.0,,,,3.0,0.8214285714285714,1,1,1,0,-2.0,-1.0,,,,-2.0,-0.3571428571428571,-1,0,1
17,2016_2017,2016-08-20,,West Brom,Everton,A,0,0,0,1,1511.7099735734362,1498.2900264265638,13.419947146872346,0.604114611950319,1.35,0.0,0,0,0,3.0,1.0,1.0,0.0,,,,3.0,0.8214285714285714,1,1,1,0,1.0,0.0,1.0,1.0,,,,1.0,0.4642857142857143,1,0,1,1,2.0,1.0,,,,2.0,0.3571428571428571,1,0,-1
18,2016_2017,2016-08-21,,Sunderland,Middlesbrough,A,0,0,0,1,1491.7099735734362,1498.2900264265638,-6.580052853127654,0.576277348421976,1.35,0.0,0,0,0,0.0,-1.0,1.0,2.0,,,,0.0,0.5,1,0,0,1,1.0,0.0,1.0,1.0,,,,1.0,1.0,1,0,1,1,-1.0,-1.0,,,,-1.0,-0.5,0,-1,0
19,2016_2017,2016-08-21,,West Ham,Bournemouth,H,2,1,0,0,1491.7099735734362,1482.4350396398456,9.274933933590546,0.5983941644060452,1.35,0.0,0,0,0,0.0,-1.0,1.0,2.0,,,,0.0,0.5,1,0,0,1,0.0,-2.0,1.0,3.0,,,,0.0,0.5,1,0,0,1,0.0,1.0,,,,0.0,0.0,0,0,0
20,2016_2017,2016-08-27,,Chelsea,Burnley,H,2,1,0,0,1519.8155733950034,1501.7165483618126,18.099025033190856,0.6105379740692003,1.35,0.0,0,0,0,3.0,1.0,2.0,1.0,,,,3.0,0.9375,2,2,2,0,1.6038058841422906,0.6038058841422905,1.069203922761527,0.46539803861923645,,,,1.5,0.625,2,1,1,0,1.3961941158577094,0.3961941158577095,,,,1.5,0.3125,1,1,0
21,2016_2017,2016-08-27,,Crystal Palace,Bournemouth,D,1,0,1,0,1480.3723186655702,1474.4029229279665,5.969395737603691,0.5938128933321049,1.35,0.0,0,0,0,0.0,-1.0,0.0,1.0,,,,0.0,0.125,2,0,0,2,0.0,-1.4653980386192365,0.46539803861923645,1.930796077238473,,,,0.0,0.125,2,0,0,2,0.0,0.46539803861923645,,,,0.0,0.0,0,0,0
22,2016_2017,2016-08-27,,Everton,Stoke,H,2,1,0,0,1510.3723186655702,1481.540266378667,28.832052286903263,0.6251248607458733,1.35,0.0,0,0,0,2.069203922761527,0.5346019613807635,1.5346019613807635,1.0,,,,2.0,0.78125,2,1,2,0,0.46539803861923645,-1.6038058841422906,1.0,2.6038058841422904,,,,0.5,0.375,2,0,0,2,1.6038058841422906,2.138407845523054,,,,1.5,0.40625,1,2,-2
