model,accuracy,balanced_acc,macro_f1,log_loss,draws_pred
Market (closing odds),0.49473684210526314,0.44054580896686163,0.371356406580654,1.0117668726695337,0
Calibrated ensemble,0.47368421052631576,0.44054580896686163,0.3651785714285714,1.0365327476114126,0
Ensemble x market blend (w=0.00),0.49473684210526314,0.44054580896686163,0.371356406580654,1.0117668726695337,0
  base: lgbm,0.4605263157894737,0.43487071191749554,0.36127122818060425,1.057856994076449,1
  base: rf,0.4789473684210526,0.4380112793855484,0.37143098616694065,1.0269056940175576,2
  base: hgb,0.46578947368421053,0.4239766081871345,0.3553420011305823,1.0339498332710835,0
  base: logit,0.45,0.42809183452458305,0.34923845193508113,1.0530556331239496,0
