question,accuracy,auc,base_rate,skill
Home win vs not,0.6447368421052632,0.6869124476158116,0.4263157894736842,yes
Draw win vs not,0.7263157894736842,0.5197881828316611,0.2736842105263158,no (base-rate only)
Away win vs not,0.6815789473684211,0.6645231499802137,0.3,yes
