2025-09-16	Athletic-Club	Arsenal
2025-09-16	Tottenham-Hotspur	Villarreal
2025-09-17	Liverpool	Atletico-Madrid
2025-09-17	Bayern-Munich	Chelsea
2025-09-18	Newcastle-United	Barcelona
2025-09-18	Manchester-City	Napoli
2025-09-30	Chelsea	Benfica
2025-09-30	BodoGlimt	Tottenham-Hotspur
2025-09-30	Galatasaray	Liverpool
2025-10-01	Union-SG	Newcastle-United
2025-10-01	Arsenal	Olympiacos
2025-10-01	Monaco	Manchester-City
2025-10-21	Newcastle-United	Benfica
2025-10-21	Arsenal	Atletico-Madrid
2025-10-21	Villarreal	Manchester-City
2025-10-22	Chelsea	Ajax
2025-10-22	Eintracht-Frankfurt	Liverpool
2025-10-22	Monaco	Tottenham-Hotspur
2025-11-04	Slavia-Prague	Arsenal
2025-11-04	Tottenham-Hotspur	FC-Copenhagen
2025-11-04	Liverpool	Real-Madrid
2025-11-05	Manchester-City	Dortmund
2025-11-05	Newcastle-United	Athletic-Club
2025-11-05	Qarabag	Chelsea
2025-11-25	Chelsea	Barcelona
2025-11-25	Manchester-City	Leverkusen
2025-11-25	Marseille	Newcastle-United
2025-11-26	Arsenal	Bayern-Munich
2025-11-26	Liverpool	PSV-Eindhoven
2025-11-26	Paris-Saint-Germain	Tottenham-Hotspur
2025-12-09	Tottenham-Hotspur	Slavia-Prague
2025-12-09	Internazionale	Liverpool
2025-12-09	Atalanta	Chelsea
2025-12-10	Club-Brugge	Arsenal
2025-12-10	Leverkusen	Newcastle-United
2025-12-10	Real-Madrid	Manchester-City
2026-01-20	BodoGlimt	Manchester-City
2026-01-20	Tottenham-Hotspur	Dortmund
2026-01-20	Internazionale	Arsenal
2026-01-21	Chelsea	Pafos-FC
2026-01-21	Newcastle-United	PSV-Eindhoven
2026-01-21	Marseille	Liverpool
2026-01-28	Liverpool	Qarabag
2026-01-28	Manchester-City	Galatasaray
2026-01-28	Arsenal	FC-Kairat
2026-01-28	Napoli	Chelsea
2026-01-28	Eintracht-Frankfurt	Tottenham-Hotspur
2026-01-28	Paris-Saint-Germain	Newcastle-United
2026-02-18	Qarabag	Newcastle-United
2026-02-24	Newcastle-United	Qarabag
2026-03-10	Newcastle-United	Barcelona
2026-03-10	Galatasaray	Liverpool
2026-03-10	Atletico-Madrid	Tottenham-Hotspur
2026-03-11	Leverkusen	Arsenal
2026-03-11	Paris-Saint-Germain	Chelsea
2026-03-11	Real-Madrid	Manchester-City
2026-03-17	Manchester-City	Real-Madrid
2026-03-17	Chelsea	Paris-Saint-Germain
2026-03-17	Arsenal	Leverkusen
2026-03-18	Barcelona	Newcastle-United
2026-03-18	Tottenham-Hotspur	Atletico-Madrid
2026-03-18	Liverpool	Galatasaray
2026-04-07	Sporting-CP	Arsenal
2026-04-08	Paris-Saint-Germain	Liverpool
2026-04-14	Liverpool	Paris-Saint-Germain
2026-04-15	Arsenal	Sporting-CP
2026-04-29	Atletico-Madrid	Arsenal
2026-05-05	Arsenal	Atletico-Madrid
2026-05-30	Paris-Saint-Germain	Arsenal
