2022-09-06	Dinamo-Zagreb	Chelsea
2022-09-06	Sevilla	Manchester-City
2022-09-07	Tottenham-Hotspur	Marseille
2022-09-07	Napoli	Liverpool
2022-09-13	Sporting-CP	Tottenham-Hotspur
2022-09-13	Liverpool	Ajax
2022-09-14	Chelsea	Red-Bull-Salzburg
2022-09-14	Manchester-City	Dortmund
2022-10-04	Liverpool	Rangers
2022-10-04	Eintracht-Frankfurt	Tottenham-Hotspur
2022-10-05	Chelsea	Milan
2022-10-05	Manchester-City	FC-Copenhagen
2022-10-11	FC-Copenhagen	Manchester-City
2022-10-11	Milan	Chelsea
2022-10-12	Rangers	Liverpool
2022-10-12	Tottenham-Hotspur	Eintracht-Frankfurt
2022-10-25	Red-Bull-Salzburg	Chelsea
2022-10-25	Dortmund	Manchester-City
2022-10-26	Tottenham-Hotspur	Sporting-CP
2022-10-26	Ajax	Liverpool
2022-11-01	Liverpool	Napoli
2022-11-01	Marseille	Tottenham-Hotspur
2022-11-02	Manchester-City	Sevilla
2022-11-02	Chelsea	Dinamo-Zagreb
2023-02-14	Milan	Tottenham-Hotspur
2023-02-15	Dortmund	Chelsea
2023-02-21	Liverpool	Real-Madrid
2023-02-22	RB-Leipzig	Manchester-City
2023-03-07	Chelsea	Dortmund
2023-03-08	Tottenham-Hotspur	Milan
2023-03-14	Manchester-City	RB-Leipzig
2023-03-15	Real-Madrid	Liverpool
2023-04-11	Manchester-City	Bayern-Munich
2023-04-12	Real-Madrid	Chelsea
2023-04-18	Chelsea	Real-Madrid
2023-04-19	Bayern-Munich	Manchester-City
2023-05-09	Real-Madrid	Manchester-City
2023-05-17	Manchester-City	Real-Madrid
2023-06-10	Manchester-City	Internazionale
