2022-08-09	Norwich-City	Birmingham-City
2022-08-09	Oxford-United	Swansea-City
2022-08-09	Huddersfield-Town	Preston-North-End
2022-08-09	Bradford-City	Hull-City
2022-08-09	Luton-Town	Newport-County
2022-08-09	Cardiff-City	Portsmouth
2022-08-09	Morecambe	Stoke-City
2022-08-09	Ipswich-Town	Colchester-United
2022-08-10	Sheffield-Wednesday	Sunderland
2022-08-10	Middlesbrough	Barnsley
2022-08-11	West-Bromwich-Albion	Sheffield-United
2022-08-23	Shrewsbury-Town	Burnley
2022-08-23	Watford	Milton-Keynes-Dons
2022-08-23	Wolverhampton-Wanderers	Preston-North-End
2022-08-23	Norwich-City	Bournemouth
2022-08-23	Grimsby-Town	Nottingham-Forest
2022-08-23	Oxford-United	Crystal-Palace
2022-08-23	Cambridge-United	Southampton
2022-08-23	Stockport	Leicester-City
2022-08-23	Derby-County	West-Bromwich-Albion
2022-08-23	Colchester-United	Brentford
2022-08-23	Bolton-Wanderers	Aston-Villa
2022-08-23	Fleetwood-Town	Everton
2022-08-23	Crawley-Town	Fulham
2022-08-24	Leeds-United	Barnsley
2022-08-24	Tranmere-Rovers	Newcastle-United
2022-08-24	Forest-Green-Rovers	Brighton-and-Hove-Albion
2022-11-08	Burnley	Crawley-Town
2022-11-08	Bournemouth	Everton
2022-11-08	Brentford	Gillingham
2022-11-08	Leicester-City	Newport-County
2022-11-09	Nottingham-Forest	Tottenham-Hotspur
2022-11-09	West-Ham-United	Blackburn-Rovers
2022-11-09	Arsenal	Brighton-and-Hove-Albion
2022-11-09	Newcastle-United	Crystal-Palace
2022-11-09	Wolverhampton-Wanderers	Leeds-United
2022-11-09	Manchester-City	Chelsea
2022-11-09	Liverpool	Derby-County
2022-11-09	Southampton	Sheffield-Wednesday
2022-11-10	Manchester-United	Aston-Villa
2022-12-20	Wolverhampton-Wanderers	Gillingham
2022-12-20	Southampton	Lincoln-City
2022-12-20	Milton-Keynes-Dons	Leicester-City
2022-12-20	Newcastle-United	Bournemouth
2022-12-21	Charlton-Athletic	Brighton-and-Hove-Albion
2022-12-21	Blackburn-Rovers	Nottingham-Forest
2022-12-21	Manchester-United	Burnley
2022-12-22	Manchester-City	Liverpool
2023-01-10	Newcastle-United	Leicester-City
2023-01-10	Manchester-United	Charlton-Athletic
2023-01-11	Nottingham-Forest	Wolverhampton-Wanderers
2023-01-11	Southampton	Manchester-City
2023-01-24	Southampton	Newcastle-United
2023-01-25	Nottingham-Forest	Manchester-United
2023-01-31	Newcastle-United	Southampton
2023-02-01	Manchester-United	Nottingham-Forest
2023-02-26	Manchester-United	Newcastle-United
