2019-11-09	Sunderland	Gillingham
2019-11-09	Ipswich-Town	Lincoln-City
2019-11-19	Gillingham	Sunderland
2019-11-20	Lincoln-City	Ipswich-Town
2019-12-01	Coventry-City	Ipswich-Town
2019-12-10	Ipswich-Town	Coventry-City
2020-01-04	Rochdale	Newcastle-United
2020-01-04	Burnley	Peterborough-United
2020-01-04	Rotherham-United	Hull-City
2020-01-04	Brentford	Stoke-City
2020-01-04	Preston-North-End	Norwich-City
2020-01-04	Fulham	Aston-Villa
2020-01-04	Cardiff-City	Carlisle-United
2020-01-04	Southampton	Huddersfield-Town
2020-01-04	Brighton-and-Hove-Albion	Sheffield-Wednesday
2020-01-04	Watford	Tranmere-Rovers
2020-01-04	Wolverhampton-Wanderers	Manchester-United
2020-01-04	Leicester-City	Wigan-Athletic
2020-01-04	Bournemouth	Luton-Town
2020-01-04	Manchester-City	Port-Vale
2020-01-05	Crystal-Palace	Derby-County
2020-01-05	Chelsea	Nottingham-Forest
2020-01-05	Middlesbrough	Tottenham-Hotspur
2020-01-05	Charlton-Athletic	West-Bromwich-Albion
2020-01-05	Sheffield-United	Fylde
2020-01-05	Queens-Park-Rangers	Swansea-City
2020-01-05	Liverpool	Everton
2020-01-05	Gillingham	West-Ham-United
2020-01-06	Arsenal	Leeds-United
2020-01-14	Newcastle-United	Rochdale
2020-01-14	Tottenham-Hotspur	Middlesbrough
2020-01-15	Carlisle-United	Cardiff-City
2020-01-15	Manchester-United	Wolverhampton-Wanderers
2020-01-23	Tranmere-Rovers	Watford
2020-01-25	Brentford	Leicester-City
2020-01-25	Burnley	Norwich-City
2020-01-25	West-Ham-United	West-Bromwich-Albion
2020-01-25	Newcastle-United	Oxford-United
2020-01-25	Millwall	Sheffield-United
2020-01-25	Reading	Cardiff-City
2020-01-25	Southampton	Tottenham-Hotspur
2020-01-25	Hull-City	Chelsea
2020-01-26	Manchester-City	Fulham
2020-01-26	Tranmere-Rovers	Manchester-United
2020-01-26	Shrewsbury-Town	Liverpool
2020-01-27	Bournemouth	Arsenal
2020-02-04	Cardiff-City	Reading
2020-02-04	Liverpool	Shrewsbury-Town
2020-02-04	Oxford-United	Newcastle-United
2020-02-05	Tottenham-Hotspur	Southampton
2020-03-02	Portsmouth	Arsenal
2020-03-03	Chelsea	Liverpool
2020-03-03	Reading	Sheffield-United
2020-03-03	West-Bromwich-Albion	Newcastle-United
2020-03-04	Leicester-City	Birmingham-City
2020-03-04	Tottenham-Hotspur	Norwich-City
2020-03-04	Sheffield-Wednesday	Manchester-City
2020-03-05	Derby-County	Manchester-United
2020-06-27	Norwich-City	Manchester-United
2020-06-28	Sheffield-United	Arsenal
2020-06-28	Leicester-City	Chelsea
2020-06-28	Newcastle-United	Manchester-City
2020-07-18	Arsenal	Manchester-City
2020-07-19	Manchester-United	Chelsea
2020-08-01	Arsenal	Chelsea
