2020-11-07	Ipswich-Town	Portsmouth
2020-11-07	Hull-City	Fleetwood-Town
2020-11-07	Sunderland	Mansfield-Town
2020-11-29	Stevenage	Hull-City
2021-01-08	Aston-Villa	Liverpool
2021-01-08	Wolverhampton-Wanderers	Crystal-Palace
2021-01-09	Luton-Town	Reading
2021-01-09	Norwich-City	Coventry-City
2021-01-09	Nottingham-Forest	Cardiff-City
2021-01-09	Everton	Rotherham-United
2021-01-09	Stoke-City	Leicester-City
2021-01-09	Stevenage	Swansea-City
2021-01-09	Queens-Park-Rangers	Fulham
2021-01-09	Bristol-Rovers	Sheffield-United
2021-01-09	Bournemouth	Oldham-Athletic
2021-01-09	Burnley	Milton-Keynes-Dons
2021-01-09	Blackpool	West-Bromwich-Albion
2021-01-09	Arsenal	Newcastle-United
2021-01-09	Brentford	Middlesbrough
2021-01-09	Huddersfield-Town	Plymouth-Argyle
2021-01-09	Manchester-United	Watford
2021-01-10	Manchester-City	Birmingham-City
2021-01-10	Chelsea	Morecambe
2021-01-10	Crawley-Town	Leeds-United
2021-01-10	Marine-FC	Tottenham-Hotspur
2021-01-10	Newport-County	Brighton-and-Hove-Albion
2021-01-11	Stockport	West-Ham-United
2021-01-19	Southampton	Shrewsbury-Town
2021-01-22	Chorley-FC	Wolverhampton-Wanderers
2021-01-23	Southampton	Arsenal
2021-01-23	Swansea-City	Nottingham-Forest
2021-01-23	Barnsley	Norwich-City
2021-01-23	West-Ham-United	Doncaster-Rovers
2021-01-23	Brighton-and-Hove-Albion	Blackpool
2021-01-23	Sheffield-United	Plymouth-Argyle
2021-01-23	Cheltenham-Town	Manchester-City
2021-01-24	Chelsea	Luton-Town
2021-01-24	Fulham	Burnley
2021-01-24	Brentford	Leicester-City
2021-01-24	Manchester-United	Liverpool
2021-01-24	Everton	Sheffield-Wednesday
2021-01-25	Wycombe-Wanderers	Tottenham-Hotspur
2021-01-26	Bournemouth	Crawley-Town
2021-02-09	Burnley	Bournemouth
2021-02-09	Manchester-United	West-Ham-United
2021-02-10	Swansea-City	Manchester-City
2021-02-10	Sheffield-United	Bristol-City
2021-02-10	Leicester-City	Brighton-and-Hove-Albion
2021-02-10	Everton	Tottenham-Hotspur
2021-02-11	Wolverhampton-Wanderers	Southampton
2021-02-11	Barnsley	Chelsea
2021-03-20	Bournemouth	Southampton
2021-03-20	Everton	Manchester-City
2021-03-21	Chelsea	Sheffield-United
2021-03-21	Leicester-City	Manchester-United
2021-04-17	Chelsea	Manchester-City
2021-04-18	Leicester-City	Southampton
2021-05-15	Chelsea	Leicester-City
