2019-09-19	Eintracht-Frankfurt	Arsenal
2019-09-19	Wolverhampton-Wanderers	Braga
2019-09-19	Manchester-United	FC-Astana
2019-10-03	AZ-Alkmaar	Manchester-United
2019-10-03	Besiktas	Wolverhampton-Wanderers
2019-10-03	Arsenal	Standard-Liege
2019-10-24	Partizan	Manchester-United
2019-10-24	Slovan-Bratislava	Wolverhampton-Wanderers
2019-10-24	Arsenal	Vitoria-Guimaraes
2019-11-06	Vitoria-Guimaraes	Arsenal
2019-11-07	Wolverhampton-Wanderers	Slovan-Bratislava
2019-11-07	Manchester-United	Partizan
2019-11-28	Braga	Wolverhampton-Wanderers
2019-11-28	Arsenal	Eintracht-Frankfurt
2019-11-28	FC-Astana	Manchester-United
2019-12-12	Standard-Liege	Arsenal
2019-12-12	Wolverhampton-Wanderers	Besiktas
2019-12-12	Manchester-United	AZ-Alkmaar
2020-02-20	Club-Brugge	Manchester-United
2020-02-20	Wolverhampton-Wanderers	Espanyol
2020-02-20	Olympiacos	Arsenal
2020-02-27	Espanyol	Wolverhampton-Wanderers
2020-02-27	Arsenal	Olympiacos
2020-02-27	Manchester-United	Club-Brugge
2020-03-12	LASK	Manchester-United
2020-03-12	Olympiacos	Wolverhampton-Wanderers
2020-08-05	Manchester-United	LASK
2020-08-06	Wolverhampton-Wanderers	Olympiacos
2020-08-10	Manchester-United	FC-Copenhagen
2020-08-11	Wolverhampton-Wanderers	Sevilla
2020-08-16	Sevilla	Manchester-United
