2018-09-18	Internazionale	Tottenham-Hotspur
2018-09-18	Liverpool	Paris-Saint-Germain
2018-09-19	Manchester-City	Lyon
2018-09-19	Young-Boys	Manchester-United
2018-10-02	Hoffenheim	Manchester-City
2018-10-02	Manchester-United	Valencia
2018-10-03	Tottenham-Hotspur	Barcelona
2018-10-03	Napoli	Liverpool
2018-10-23	Manchester-United	Juventus
2018-10-23	Shakhtar-Donetsk	Manchester-City
2018-10-24	PSV-Eindhoven	Tottenham-Hotspur
2018-10-24	Liverpool	Red-Star
2018-11-06	Red-Star	Liverpool
2018-11-06	Tottenham-Hotspur	PSV-Eindhoven
2018-11-07	Manchester-City	Shakhtar-Donetsk
2018-11-07	Juventus	Manchester-United
2018-11-27	Manchester-United	Young-Boys
2018-11-27	Lyon	Manchester-City
2018-11-28	Tottenham-Hotspur	Internazionale
2018-11-28	Paris-Saint-Germain	Liverpool
2018-12-11	Liverpool	Napoli
2018-12-11	Barcelona	Tottenham-Hotspur
2018-12-12	Manchester-City	Hoffenheim
2018-12-12	Valencia	Manchester-United
2019-02-12	Manchester-United	Paris-Saint-Germain
2019-02-13	Tottenham-Hotspur	Dortmund
2019-02-19	Liverpool	Bayern-Munich
2019-02-20	Schalke-04	Manchester-City
2019-03-05	Dortmund	Tottenham-Hotspur
2019-03-06	Paris-Saint-Germain	Manchester-United
2019-03-12	Manchester-City	Schalke-04
2019-03-13	Bayern-Munich	Liverpool
2019-04-09	Liverpool	Porto
2019-04-09	Tottenham-Hotspur	Manchester-City
2019-04-10	Manchester-United	Barcelona
2019-04-16	Barcelona	Manchester-United
2019-04-17	Porto	Liverpool
2019-04-17	Manchester-City	Tottenham-Hotspur
2019-04-30	Tottenham-Hotspur	Ajax
2019-05-01	Barcelona	Liverpool
2019-05-07	Liverpool	Barcelona
2019-05-08	Ajax	Tottenham-Hotspur
2019-06-01	Tottenham-Hotspur	Liverpool
