2019-09-17	Chelsea	Valencia
2019-09-17	Napoli	Liverpool
2019-09-18	Olympiacos	Tottenham-Hotspur
2019-09-18	Shakhtar-Donetsk	Manchester-City
2019-10-01	Manchester-City	Dinamo-Zagreb
2019-10-01	Tottenham-Hotspur	Bayern-Munich
2019-10-02	Liverpool	Red-Bull-Salzburg
2019-10-02	Lille	Chelsea
2019-10-22	Tottenham-Hotspur	Red-Star
2019-10-22	Manchester-City	Atalanta
2019-10-23	Ajax	Chelsea
2019-10-23	Genk	Liverpool
2019-11-05	Liverpool	Genk
2019-11-05	Chelsea	Ajax
2019-11-06	Atalanta	Manchester-City
2019-11-06	Red-Star	Tottenham-Hotspur
2019-11-26	Manchester-City	Shakhtar-Donetsk
2019-11-26	Tottenham-Hotspur	Olympiacos
2019-11-27	Valencia	Chelsea
2019-11-27	Liverpool	Napoli
2019-12-10	Red-Bull-Salzburg	Liverpool
2019-12-10	Chelsea	Lille
2019-12-11	Dinamo-Zagreb	Manchester-City
2019-12-11	Bayern-Munich	Tottenham-Hotspur
2020-02-18	Atletico-Madrid	Liverpool
2020-02-19	Tottenham-Hotspur	RB-Leipzig
2020-02-25	Chelsea	Bayern-Munich
2020-02-26	Real-Madrid	Manchester-City
2020-03-10	RB-Leipzig	Tottenham-Hotspur
2020-03-11	Liverpool	Atletico-Madrid
2020-08-07	Manchester-City	Real-Madrid
2020-08-08	Bayern-Munich	Chelsea
2020-08-15	Manchester-City	Lyon
