2025-08-12	Swansea-City	Crawley-Town
2025-08-12	Middlesbrough	Doncaster-Rovers
2025-08-12	Stoke-City	Walsall
2025-08-12	Cardiff-City	Swindon-Town
2025-08-12	Coventry-City	Luton-Town
2025-08-12	Wrexham	Hull-City
2025-08-12	Northampton-Town	Southampton
2025-08-12	Watford	Norwich-City
2025-08-12	West-Bromwich-Albion	Derby-County
2025-08-12	Bromley	Ipswich-Town
2025-08-13	Huddersfield-Town	Leicester-City
2025-08-13	Birmingham-City	Sheffield-United
2025-08-26	Wolverhampton-Wanderers	West-Ham-United
2025-08-26	Sunderland	Huddersfield-Town
2025-08-26	Bournemouth	Brentford
2025-08-26	Cardiff-City	Cheltenham-Town
2025-08-26	Stoke-City	Bradford-City
2025-08-26	Swansea-City	Plymouth-Argyle
2025-08-26	Burnley	Derby-County
2025-08-26	Norwich-City	Southampton
2025-08-26	Sheffield-Wednesday	Leeds-United
2025-08-27	Oxford-United	Brighton-and-Hove-Albion
2025-08-27	Fulham	Bristol-City
2025-08-27	Everton	Mansfield-Town
2025-08-27	Grimsby-Town	Manchester-United
2025-09-16	Crystal-Palace	Millwall
2025-09-16	Brentford	Aston-Villa
2025-09-17	Swansea-City	Nottingham-Forest
2025-09-23	Wolverhampton-Wanderers	Everton
2025-09-23	Fulham	Cambridge-United
2025-09-23	Burnley	Cardiff-City
2025-09-23	Lincoln-City	Chelsea
2025-09-23	Barnsley	Brighton-and-Hove-Albion
2025-09-23	Liverpool	Southampton
2025-09-24	Tottenham-Hotspur	Doncaster-Rovers
2025-09-24	Huddersfield-Town	Manchester-City
2025-09-24	Newcastle-United	Bradford-City
2025-09-24	Port-Vale	Arsenal
2025-10-28	Wycombe-Wanderers	Fulham
2025-10-28	Grimsby-Town	Brentford
2025-10-28	Wrexham	Cardiff-City
2025-10-29	Liverpool	Crystal-Palace
2025-10-29	Arsenal	Brighton-and-Hove-Albion
2025-10-29	Wolverhampton-Wanderers	Chelsea
2025-10-29	Swansea-City	Manchester-City
2025-10-29	Newcastle-United	Tottenham-Hotspur
2025-12-16	Cardiff-City	Chelsea
2025-12-17	Manchester-City	Brentford
2025-12-17	Newcastle-United	Fulham
2025-12-23	Arsenal	Crystal-Palace
2026-01-13	Newcastle-United	Manchester-City
2026-01-14	Chelsea	Arsenal
2026-02-03	Arsenal	Chelsea
2026-02-04	Manchester-City	Newcastle-United
2026-03-22	Arsenal	Manchester-City
