2017-09-14	Atalanta	Everton
2017-09-14	Arsenal	Koln
2017-09-28	BATE-Borisov	Arsenal
2017-09-28	Everton	Apollon-Limassol
2017-10-19	Red-Star	Arsenal
2017-10-19	Everton	Lyon
2017-11-02	Lyon	Everton
2017-11-02	Arsenal	Red-Star
2017-11-23	Koln	Arsenal
2017-11-23	Everton	Atalanta
2017-12-07	Apollon-Limassol	Everton
2017-12-07	Arsenal	BATE-Borisov
2018-02-15	Ostersund	Arsenal
2018-02-22	Arsenal	Ostersund
2018-03-08	Milan	Arsenal
2018-03-15	Arsenal	Milan
2018-04-05	Arsenal	CSKA-Moscow
2018-04-12	CSKA-Moscow	Arsenal
2018-04-26	Arsenal	Atletico-Madrid
2018-05-03	Atletico-Madrid	Arsenal
