2016-09-13	Paris-Saint-Germain	Arsenal
2016-09-14	Tottenham-Hotspur	Monaco
2016-09-14	Manchester-City	Monchengladbach
2016-09-14	Club-Brugge	Leicester-City
2016-09-27	Leicester-City	Porto
2016-09-27	CSKA-Moscow	Tottenham-Hotspur
2016-09-28	Celtic	Manchester-City
2016-09-28	Arsenal	Basel
2016-10-18	Leicester-City	FC-Copenhagen
2016-10-18	Leverkusen	Tottenham-Hotspur
2016-10-19	Arsenal	Ludogorets-Razgrad
2016-10-19	Barcelona	Manchester-City
2016-11-01	Manchester-City	Barcelona
2016-11-01	Ludogorets-Razgrad	Arsenal
2016-11-02	Tottenham-Hotspur	Leverkusen
2016-11-02	FC-Copenhagen	Leicester-City
2016-11-22	Leicester-City	Club-Brugge
2016-11-22	Monaco	Tottenham-Hotspur
2016-11-23	Arsenal	Paris-Saint-Germain
2016-11-23	Monchengladbach	Manchester-City
2016-12-06	Manchester-City	Celtic
2016-12-06	Basel	Arsenal
2016-12-07	Tottenham-Hotspur	CSKA-Moscow
2016-12-07	Porto	Leicester-City
2017-02-15	Bayern-Munich	Arsenal
2017-02-21	Manchester-City	Monaco
2017-02-22	Sevilla	Leicester-City
2017-03-07	Arsenal	Bayern-Munich
2017-03-14	Leicester-City	Sevilla
2017-03-15	Monaco	Manchester-City
2017-04-12	Atletico-Madrid	Leicester-City
2017-04-18	Leicester-City	Atletico-Madrid
